Truck Index,Carrier Index,First Hub,First Edge,Start Time - 1min
343,855,18,0,"11/20/2021, 08:02:20"
66,846,18,0,"11/20/2021, 08:14:00"
694,474,18,0,"11/20/2021, 08:29:00"
519,472,18,0,"11/20/2021, 08:30:40"
89,626,18,0,"11/20/2021, 08:42:20"
653,817,18,0,"11/20/2021, 08:44:00"
383,823,18,0,"11/20/2021, 08:50:40"
736,838,18,0,"11/20/2021, 08:57:20"
852,662,18,0,"11/20/2021, 08:59:00"
331,725,36,4,"11/20/2021, 08:00:40"
470,795,36,4,"11/20/2021, 08:09:00"
819,844,36,4,"11/20/2021, 08:29:00"
321,571,18,7,"11/20/2021, 08:14:00"
72,674,40,10,"11/20/2021, 08:12:20"
229,845,91,11,"11/20/2021, 08:20:40"
437,728,91,11,"11/20/2021, 08:50:40"
156,855,11,12,"11/20/2021, 08:30:40"
676,803,95,13,"11/20/2021, 08:27:20"
80,853,73,14,"11/20/2021, 08:49:00"
38,117,52,15,"11/20/2021, 08:47:20"
626,854,2,16,"11/20/2021, 08:20:40"
864,855,2,16,"11/20/2021, 08:22:20"
580,749,2,16,"11/20/2021, 08:30:40"
604,826,2,16,"11/20/2021, 08:35:40"
661,708,2,16,"11/20/2021, 08:45:40"
945,735,2,16,"11/20/2021, 08:52:20"
406,849,2,16,"11/20/2021, 08:59:00"
615,804,41,17,"11/20/2021, 08:24:00"
373,835,37,18,"11/20/2021, 08:05:40"
918,783,37,18,"11/20/2021, 08:50:40"
189,848,37,18,"11/20/2021, 08:59:00"
902,600,2,20,"11/20/2021, 08:09:00"
121,852,2,20,"11/20/2021, 08:40:40"
217,743,86,23,"11/20/2021, 08:40:40"
536,586,4,24,"11/20/2021, 08:42:20"
295,844,15,25,"11/20/2021, 08:00:40"
233,512,15,25,"11/20/2021, 08:34:00"
225,845,15,25,"11/20/2021, 08:59:00"
680,717,79,27,"11/20/2021, 08:04:00"
671,849,26,28,"11/20/2021, 08:19:00"
398,777,26,28,"11/20/2021, 08:35:40"
502,853,79,29,"11/20/2021, 08:22:20"
644,817,36,30,"11/20/2021, 08:00:40"
896,852,36,30,"11/20/2021, 08:10:40"
282,426,36,30,"11/20/2021, 08:12:20"
148,727,36,30,"11/20/2021, 08:25:40"
307,766,36,30,"11/20/2021, 08:29:00"
214,855,36,30,"11/20/2021, 08:49:00"
985,439,36,30,"11/20/2021, 08:49:00"
870,837,71,31,"11/20/2021, 08:19:00"
474,688,35,32,"11/20/2021, 08:37:20"
956,688,101,33,"11/20/2021, 08:32:20"
568,720,101,33,"11/20/2021, 08:49:00"
425,793,94,36,"11/20/2021, 08:14:00"
382,846,94,36,"11/20/2021, 08:17:20"
673,796,94,36,"11/20/2021, 08:19:00"
591,855,94,36,"11/20/2021, 08:20:40"
223,819,94,36,"11/20/2021, 08:57:20"
824,855,21,37,"11/20/2021, 08:12:20"
253,818,21,37,"11/20/2021, 08:52:20"
982,327,53,38,"11/20/2021, 08:52:20"
555,843,53,38,"11/20/2021, 08:55:40"
478,704,52,39,"11/20/2021, 08:15:40"
804,855,52,39,"11/20/2021, 08:54:00"
840,824,44,40,"11/20/2021, 07:59:00"
733,19,44,40,"11/20/2021, 08:02:20"
175,719,44,40,"11/20/2021, 08:09:00"
751,855,44,40,"11/20/2021, 08:40:40"
533,35,44,40,"11/20/2021, 08:45:40"
73,854,44,40,"11/20/2021, 08:59:00"
603,847,22,41,"11/20/2021, 08:30:40"
551,636,22,41,"11/20/2021, 08:52:20"
739,802,2,42,"11/20/2021, 07:59:00"
193,419,2,42,"11/20/2021, 08:09:00"
394,855,2,42,"11/20/2021, 08:10:40"
237,823,2,42,"11/20/2021, 08:12:20"
579,729,2,42,"11/20/2021, 08:15:40"
825,852,2,42,"11/20/2021, 08:20:40"
20,527,2,42,"11/20/2021, 08:27:20"
234,855,2,42,"11/20/2021, 08:39:00"
511,569,2,42,"11/20/2021, 08:47:20"
442,818,56,43,"11/20/2021, 08:17:20"
526,778,56,43,"11/20/2021, 08:24:00"
981,853,56,43,"11/20/2021, 08:35:40"
601,649,56,43,"11/20/2021, 08:39:00"
748,831,56,43,"11/20/2021, 08:40:40"
336,788,56,43,"11/20/2021, 08:50:40"
562,493,56,43,"11/20/2021, 08:59:00"
711,528,56,43,"11/20/2021, 08:59:00"
91,821,48,48,"11/20/2021, 08:02:20"
257,846,48,48,"11/20/2021, 08:17:20"
399,821,48,48,"11/20/2021, 08:50:40"
811,651,17,49,"11/20/2021, 08:12:20"
134,520,17,49,"11/20/2021, 08:57:20"
550,784,36,50,"11/20/2021, 08:05:40"
847,854,48,51,"11/20/2021, 07:59:00"
68,850,48,51,"11/20/2021, 08:05:40"
789,831,48,51,"11/20/2021, 08:10:40"
34,784,48,51,"11/20/2021, 08:20:40"
523,786,48,51,"11/20/2021, 08:32:20"
465,449,48,51,"11/20/2021, 08:34:00"
737,794,48,51,"11/20/2021, 08:35:40"
668,768,48,51,"11/20/2021, 08:52:20"
776,708,48,51,"11/20/2021, 08:55:40"
763,381,82,52,"11/20/2021, 08:10:40"
235,807,6,53,"11/20/2021, 08:57:20"
232,855,77,55,"11/20/2021, 08:14:00"
953,853,77,55,"11/20/2021, 08:25:40"
310,716,25,56,"11/20/2021, 08:09:00"
820,852,25,56,"11/20/2021, 08:44:00"
891,852,25,56,"11/20/2021, 08:59:00"
210,854,33,57,"11/20/2021, 08:00:40"
371,548,33,57,"11/20/2021, 08:30:40"
196,149,45,58,"11/20/2021, 07:59:00"
363,696,45,58,"11/20/2021, 08:04:00"
441,814,45,58,"11/20/2021, 08:05:40"
360,833,45,58,"11/20/2021, 08:09:00"
39,813,45,58,"11/20/2021, 08:12:20"
504,853,45,58,"11/20/2021, 08:15:40"
919,99,45,58,"11/20/2021, 08:19:00"
542,855,45,58,"11/20/2021, 08:27:20"
553,850,45,58,"11/20/2021, 08:32:20"
838,504,45,58,"11/20/2021, 08:32:20"
411,855,45,58,"11/20/2021, 08:34:00"
139,851,45,58,"11/20/2021, 08:40:40"
415,784,45,58,"11/20/2021, 08:40:40"
187,855,45,58,"11/20/2021, 08:49:00"
714,855,45,58,"11/20/2021, 08:49:00"
370,842,45,58,"11/20/2021, 08:52:20"
702,734,45,58,"11/20/2021, 08:55:40"
712,839,45,58,"11/20/2021, 08:57:20"
843,846,45,58,"11/20/2021, 08:59:00"
530,640,44,59,"11/20/2021, 08:22:20"
256,518,44,59,"11/20/2021, 08:37:20"
704,384,44,59,"11/20/2021, 08:57:20"
302,851,22,60,"11/20/2021, 08:05:40"
328,777,35,62,"11/20/2021, 08:12:20"
432,841,35,62,"11/20/2021, 08:25:40"
958,855,35,62,"11/20/2021, 08:49:00"
